"","year","Pb","As","Zn","Ni","V","Cr","Cu","Ba","Be","Sig8_lignin","Lamb8","Bd.V_soil_biomarker"
"66",1839,11.675,16.2175,87.025,44.825,87.675,146.175,25.635,286.22,1.21,0.258333333333333,1.515,0.0505555555555556
"67",1840,12,8.39,79.7,37.5,104,64.9,33.8,381,1.11,0.26,1.52,0.05
"68",1841,11.5,8.2325,79.65,37.775,104.5,65.125,33.625,382.75,1.1225,0.259444444444444,1.51833333333333,0.05
"69",1842,11,8.075,79.6,38.05,105,65.35,33.45,384.5,1.135,0.258888888888889,1.51666666666667,0.05
"70",1843,10.5,7.9175,79.55,38.325,105.5,65.575,33.275,386.25,1.1475,0.258333333333333,1.515,0.05
"71",1844,10,7.76,79.5,38.6,106,65.8,33.1,388,1.16,0.257777777777778,1.51333333333333,0.05
"72",1845,10.28,8.268,79.74,38.66,106.2,65.88,33.32,388.6,1.158,0.257222222222222,1.51166666666667,0.05
"73",1846,10.56,8.776,79.98,38.72,106.4,65.96,33.54,389.2,1.156,0.256666666666667,1.51,0.05
"74",1847,10.84,9.284,80.22,38.78,106.6,66.04,33.76,389.8,1.154,0.256111111111111,1.50833333333333,0.05
"75",1848,11.12,9.792,80.46,38.84,106.8,66.12,33.98,390.4,1.152,0.255555555555556,1.50666666666667,0.05
"76",1849,11.4,10.3,80.7,38.9,107,66.2,34.2,391,1.15,0.255,1.505,0.05
"77",1850,11.0375,9.915,80.8,39.05,107,66.375,34.05,390.75,1.145,0.254444444444444,1.50333333333333,0.05
"78",1851,10.675,9.53,80.9,39.2,107,66.55,33.9,390.5,1.14,0.253888888888889,1.50166666666667,0.05
"79",1852,10.3125,9.145,81,39.35,107,66.725,33.75,390.25,1.135,0.253333333333333,1.5,0.05
"80",1853,9.95,8.76,81.1,39.5,107,66.9,33.6,390,1.13,0.252777777777778,1.49833333333333,0.05
"81",1854,10,8.48,80.76,39.28,106.6,66.88,33.52,390,1.13,0.252222222222222,1.49666666666667,0.05
"82",1855,10.05,8.2,80.42,39.06,106.2,66.86,33.44,390,1.13,0.251666666666667,1.495,0.05
"83",1856,10.1,7.92,80.08,38.84,105.8,66.84,33.36,390,1.13,0.251111111111111,1.49333333333333,0.05
"84",1857,10.15,7.64,79.74,38.62,105.4,66.82,33.28,390,1.13,0.250555555555556,1.49166666666667,0.05
"85",1858,10.2,7.36,79.4,38.4,105,66.8,33.2,390,1.13,0.25,1.49,0.05
"86",1859,10.12,7.33,79.65,38.575,105.75,67.225,33.425,391,1.13,0.252222222222222,1.49333333333333,0.05
"87",1860,10.04,7.3,79.9,38.75,106.5,67.65,33.65,392,1.13,0.254444444444444,1.49666666666667,0.05
"88",1861,9.96,7.27,80.15,38.925,107.25,68.075,33.875,393,1.13,0.256666666666667,1.5,0.05
"89",1862,9.88,7.24,80.4,39.1,108,68.5,34.1,394,1.13,0.258888888888889,1.50333333333333,0.05
"90",1863,10.364,7.792,80.52,38.84,107.8,67.88,34.58,393.4,1.134,0.261111111111111,1.50666666666667,0.05
"91",1864,10.848,8.344,80.64,38.58,107.6,67.26,35.06,392.8,1.138,0.263333333333333,1.51,0.05
"92",1865,11.332,8.896,80.76,38.32,107.4,66.64,35.54,392.2,1.142,0.265555555555556,1.51333333333333,0.05
"93",1866,11.816,9.448,80.88,38.06,107.2,66.02,36.02,391.6,1.146,0.267777777777778,1.51666666666667,0.05
"94",1867,12.3,10,81,37.8,107,65.4,36.5,391,1.15,0.27,1.52,0.05
